time_s,E_1_per_s,F,bin_weight,source
0.7342135416666666,26.261078892657796,0.34210526315789475,78,dpm_summary_beta_fit
0.7472406250000001,5.386887977981086,0.41228070175438597,16,dpm_summary_beta_fit
0.7602677083333333,3.703485484861997,0.4605263157894737,11,dpm_summary_beta_fit
0.7732947916666666,2.693443988990543,0.4956140350877193,8,dpm_summary_beta_fit
0.7863218750000001,2.3567634903667254,0.5263157894736842,7,dpm_summary_beta_fit
0.7993489583333333,2.0200829917429073,0.5526315789473685,6,dpm_summary_beta_fit
0.8123760416666668,1.6834024931190894,0.5745614035087719,5,dpm_summary_beta_fit
0.825403125,1.6834024931190894,0.5964912280701754,5,dpm_summary_beta_fit
0.8384302083333333,1.3467219944952715,0.6140350877192983,4,dpm_summary_beta_fit
0.8514572916666667,1.3467219944952715,0.631578947368421,4,dpm_summary_beta_fit
0.864484375,1.3467219944952715,0.6491228070175439,4,dpm_summary_beta_fit
0.8775114583333334,1.0100414958714536,0.6622807017543859,3,dpm_summary_beta_fit
0.8905385416666667,1.3467219944952715,0.6798245614035088,4,dpm_summary_beta_fit
0.9035656249999999,1.0100414958714536,0.6929824561403509,3,dpm_summary_beta_fit
0.9165927083333334,1.0100414958714536,0.706140350877193,3,dpm_summary_beta_fit
0.9296197916666666,0.6733609972476358,0.7149122807017544,2,dpm_summary_beta_fit
0.9426468750000001,1.0100414958714536,0.7280701754385965,3,dpm_summary_beta_fit
0.9556739583333334,1.0100414958714536,0.7412280701754386,3,dpm_summary_beta_fit
0.9687010416666666,0.6733609972476358,0.75,2,dpm_summary_beta_fit
0.9817281250000001,1.0100414958714536,0.7631578947368421,3,dpm_summary_beta_fit
0.9947552083333333,0.6733609972476358,0.7719298245614035,2,dpm_summary_beta_fit
1.0077822916666666,0.6733609972476358,0.7807017543859649,2,dpm_summary_beta_fit
1.020809375,0.6733609972476358,0.7894736842105263,2,dpm_summary_beta_fit
1.0338364583333335,1.0100414958714536,0.8026315789473685,3,dpm_summary_beta_fit
1.0468635416666667,0.6733609972476358,0.8114035087719298,2,dpm_summary_beta_fit
1.059890625,0.6733609972476358,0.8201754385964912,2,dpm_summary_beta_fit
1.0729177083333332,0.6733609972476358,0.8289473684210527,2,dpm_summary_beta_fit
1.0859447916666667,0.6733609972476358,0.8377192982456141,2,dpm_summary_beta_fit
1.0989718750000002,0.6733609972476358,0.8464912280701754,2,dpm_summary_beta_fit
1.1119989583333334,0.6733609972476358,0.8552631578947368,2,dpm_summary_beta_fit
1.1250260416666666,0.3366804986238179,0.8596491228070176,1,dpm_summary_beta_fit
1.1380531249999999,0.6733609972476358,0.868421052631579,2,dpm_summary_beta_fit
1.1510802083333334,0.6733609972476358,0.8771929824561403,2,dpm_summary_beta_fit
1.1641072916666668,0.6733609972476358,0.8859649122807017,2,dpm_summary_beta_fit
1.177134375,0.6733609972476358,0.8947368421052632,2,dpm_summary_beta_fit
1.1901614583333333,0.3366804986238179,0.8991228070175439,1,dpm_summary_beta_fit
1.2031885416666666,0.6733609972476358,0.9078947368421053,2,dpm_summary_beta_fit
1.216215625,0.6733609972476358,0.9166666666666666,2,dpm_summary_beta_fit
1.2292427083333335,0.6733609972476358,0.9254385964912281,2,dpm_summary_beta_fit
1.2422697916666667,0.3366804986238179,0.9298245614035088,1,dpm_summary_beta_fit
1.255296875,0.6733609972476358,0.9385964912280702,2,dpm_summary_beta_fit
1.2683239583333332,0.6733609972476358,0.9473684210526315,2,dpm_summary_beta_fit
1.2813510416666665,0.6733609972476358,0.956140350877193,2,dpm_summary_beta_fit
1.2943781250000002,0.6733609972476358,0.9649122807017544,2,dpm_summary_beta_fit
1.3074052083333334,0.3366804986238179,0.9692982456140351,1,dpm_summary_beta_fit
1.3204322916666666,0.6733609972476358,0.9780701754385965,2,dpm_summary_beta_fit
1.333459375,0.6733609972476358,0.9868421052631579,2,dpm_summary_beta_fit
1.3464864583333331,1.0100414958714536,1.0,3,dpm_summary_beta_fit
